                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                 1.1997,                0.89183,                  1.856,                0.98073,                0.96019,                0.99249,                0.69932,                 1.1219,                0.69691,                 1.9767,               0.004456,               0.004456,               0.004456
                     30,                 1.1647,                0.85715,                 1.8258,                0.98173,                0.97484,                0.99072,                0.69432,                  1.119,                0.67501,                 1.9659,               0.004258,               0.004258,               0.004258
                     31,                 1.1655,                0.83742,                 1.8427,                0.98443,                0.93711,                0.97954,                0.68156,                  1.138,                0.73147,                 2.0125,                0.00406,                0.00406,                0.00406
                     32,                  1.149,                0.82254,                 1.7873,                0.98105,                0.97706,                0.99297,                0.69148,                 1.1088,                0.66122,                 1.9525,               0.003862,               0.003862,               0.003862
                     33,                 1.1362,                0.78426,                 1.7918,                0.99934,                0.97484,                0.99324,                0.70028,                 1.1065,                0.65102,                 1.9537,               0.003664,               0.003664,               0.003664
                     34,                 1.1352,                0.78815,                 1.7809,                0.99799,                0.95597,                0.99364,                0.69108,                 1.1238,                0.66604,                 1.9721,               0.003466,               0.003466,               0.003466
                     35,                 1.1154,                0.78066,                 1.7786,                0.99764,                0.96855,                0.99321,                0.70351,                 1.0861,                0.63096,                 1.9379,               0.003268,               0.003268,               0.003268
                     36,                 1.1374,                0.79052,                  1.788,                0.98141,                0.99628,                0.99475,                0.70292,                 1.1122,                0.61806,                 1.9593,                0.00307,                0.00307,                0.00307
                     37,                 1.1136,                0.75754,                 1.7732,                0.97646,                0.98113,                0.99426,                0.69272,                 1.1048,                0.62321,                  1.938,               0.002872,               0.002872,               0.002872
                     38,                 1.0976,                0.74346,                 1.7513,                      1,                0.96459,                0.99359,                 0.7043,                 1.0854,                 0.6137,                 1.9387,               0.002674,               0.002674,               0.002674
                     39,                 1.1155,                0.73988,                 1.7591,                0.99906,                0.97484,                0.99469,                0.70009,                 1.1108,                0.59115,                 1.9556,               0.002476,               0.002476,               0.002476
                     40,                0.98854,                0.67353,                 1.7674,                0.99941,                0.96226,                0.99374,                 0.6635,                    1.2,                0.64914,                 2.0595,               0.002278,               0.002278,               0.002278
                     41,                0.97808,                0.62205,                 1.7529,                0.98109,                0.97893,                0.99383,                0.69047,                  1.109,                 0.6311,                 1.9389,                0.00208,                0.00208,                0.00208
                     42,                0.94066,                0.60046,                 1.7212,                0.98616,                0.98113,                0.99346,                0.70264,                 1.1052,                0.60723,                 1.9634,               0.001882,               0.001882,               0.001882
                     43,                0.93406,                0.59084,                 1.7176,                0.99769,                0.96855,                0.99419,                0.70905,                 1.1041,                0.59269,                 1.9614,               0.001684,               0.001684,               0.001684
                     44,                 0.9324,                0.59502,                 1.6946,                0.98088,                      1,                0.99481,                0.72081,                  1.068,                0.57792,                 1.9321,               0.001486,               0.001486,               0.001486
                     45,                0.92617,                0.56997,                 1.7152,                0.99363,                0.98098,                0.99469,                0.72356,                 1.0571,                0.56784,                 1.9192,               0.001288,               0.001288,               0.001288
                     46,                0.92986,                0.56871,                  1.708,                      1,                0.97351,                 0.9938,                0.72175,                 1.0732,                0.56713,                 1.9255,                0.00109,                0.00109,                0.00109
                     47,                0.89716,                0.55647,                 1.6687,                0.99272,                0.98113,                 0.9944,                0.71681,                 1.0606,                0.54891,                 1.9273,               0.000892,               0.000892,               0.000892
                     48,                0.92233,                0.56403,                 1.7125,                0.99808,                0.96855,                0.99432,                0.71694,                 1.1013,                0.56164,                 1.9543,               0.000694,               0.000694,               0.000694
                     49,                0.90338,                0.55867,                 1.6823,                0.97525,                 0.9915,                0.99444,                0.72263,                 1.0754,                0.54968,                 1.9377,               0.000496,               0.000496,               0.000496
