                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5886,                 5.7252,                 4.2589,                      0,                      0,                      0,                      0,                  3.465,                 5.7337,                 4.1435,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.4961,                 5.6893,                 4.2678,                      0,                      0,                      0,                      0,                 3.4687,                 5.7139,                 4.1235,               0.086005,               0.001005,               0.001005
                      2,                   3.59,                 5.6606,                 4.2265,                      0,                      0,                      0,                      0,                 3.4711,                 5.7018,                 4.1135,               0.077782,               0.000782,               0.000782
